country_id,country_iso3_code,year,growth_proj,in_rankings,eci_sitc,eci_rank_sitc,eci_hs92,eci_rank_hs92,eci_hs12,eci_rank_hs12
4,AFG,1995,,True,-0.567,95,-0.451,93,,
4,AFG,1996,,True,-0.768,108,-0.477,91,,
4,AFG,1997,,True,-0.275,77,0.063,64,,
4,AFG,1998,,True,-0.423,82,-0.278,78,,
4,AFG,1999,,True,-0.719,106,-0.249,75,,
4,AFG,2000,,True,-0.547,95,-0.169,71,,
4,AFG,2001,,True,-0.074,67,0.021,66,,
4,AFG,2002,,True,-0.538,91,-0.334,83,,
4,AFG,2003,,True,-0.766,105,-0.485,94,,
4,AFG,2004,,True,-0.584,93,-0.468,91,,
4,AFG,2005,,True,-0.05,63,-0.135,75,,
4,AFG,2006,,True,-0.94,117,-0.682,107,,
4,AFG,2007,,True,-0.867,113,-0.842,107,,
4,AFG,2008,,True,-0.196,70,-0.206,75,,
4,AFG,2009,,True,0.449,45,0.458,48,,
4,AFG,2010,,True,-0.005,59,-0.008,66,,
4,AFG,2011,,True,-0.784,108,-0.852,110,,
4,AFG,2012,,True,-0.731,103,-0.833,109,-0.624,105
4,AFG,2013,,True,-0.95,117,-1.058,117,-0.954,112
4,AFG,2014,,True,-0.945,117,-0.956,115,-0.847,109
4,AFG,2015,,True,-1.128,129,-1.302,131,-1.071,119
4,AFG,2016,,True,-1.284,138,-1.543,139,-1.439,136
4,AFG,2017,,True,-1.23,132,-1.127,127,-1.188,130
4,AFG,2018,,True,-1.221,132,-1.263,129,-1.23,128
4,AFG,2019,,True,-1.166,131,-1.156,123,-1.121,122
4,AFG,2020,,True,-1.238,140,-1.134,128,-1.163,129
4,AFG,2021,4.828,True,-1.245,138,-1.133,126,-1.139,128
4,AFG,2022,4.252,True,-1.271,136,-1.347,136,-1.322,136
4,AFG,2023,4.016,True,-1.369,134,-1.316,135,-1.346,135
24,AGO,1995,,True,-2.008,141,-1.914,137,,
24,AGO,1996,,True,-1.86,141,-2.328,141,,
24,AGO,1997,,True,-1.879,140,-1.57,135,,
24,AGO,1998,,True,-1.818,140,-1.579,135,,
24,AGO,1999,,True,-1.615,136,-1.505,133,,
24,AGO,2000,,True,-1.932,142,-1.938,141,,
24,AGO,2001,,True,-1.901,144,-1.454,135,,
24,AGO,2002,,True,-1.535,143,-1.898,144,,
24,AGO,2003,,True,-1.588,143,-1.812,141,,
24,AGO,2004,4.46,True,-0.84,109,-0.848,108,,
24,AGO,2005,2.98,True,-1.421,136,-1.257,127,,
24,AGO,2006,2.89,True,-1.67,141,-1.654,135,,
24,AGO,2007,2.74,True,-1.627,138,-1.649,137,,
24,AGO,2008,2.77,True,-0.694,105,-1.516,135,,
24,AGO,2009,2.74,True,-1.551,139,-0.96,115,,
24,AGO,2010,2.56,True,-1.413,136,-1.427,136,,
24,AGO,2011,2.82,True,-1.417,137,-1.23,127,,
24,AGO,2012,2.81,True,-1.251,133,-1.322,134,-1.86,140
24,AGO,2013,3.3,True,-1.121,127,-1.265,130,-2.127,142
24,AGO,2014,2.39,True,-1.58,139,-1.736,142,-1.417,131
24,AGO,2015,5.14,True,-1.032,123,-1.078,118,-1.071,120
24,AGO,2016,3.66,True,-1.167,131,-1.092,124,-1.239,129
24,AGO,2017,3.28,True,-1.638,142,-1.581,139,-1.619,139
24,AGO,2018,3.47,True,-1.764,145,-1.505,138,-1.529,137
24,AGO,2019,4.55,True,-0.97,119,-1.204,127,-1.246,127
24,AGO,2020,2.62,True,-0.65,97,-0.893,111,-0.881,111
24,AGO,2021,2.62,True,-1.022,121,-1.25,135,-1.262,134
24,AGO,2022,4.097,True,-0.297,73,-0.758,103,-0.757,104
24,AGO,2023,3.26,True,-1.069,127,-1.052,123,-0.979,115
8,ALB,1995,,True,-0.58,96,-0.473,94,,
8,ALB,1996,,True,-0.628,96,-0.264,81,,
8,ALB,1997,,True,-0.419,83,-0.367,83,,
8,ALB,1998,,True,-0.521,86,-0.438,91,,
8,ALB,1999,,True,-0.595,95,-0.347,80,,
8,ALB,2000,,True,-0.15,68,-0.204,75,,
8,ALB,2001,,True,-0.246,75,-0.159,74,,
8,ALB,2002,,True,-0.147,70,-0.292,78,,
8,ALB,2003,,True,-0.115,66,-0.141,72,,
8,ALB,2004,2.92,True,-0.325,76,-0.252,81,,
8,ALB,2005,2.53,True,-0.35,82,-0.233,82,,
8,ALB,2006,2.25,True,-0.377,83,-0.352,89,,
8,ALB,2007,2.53,True,-0.395,84,-0.309,80,,
8,ALB,2008,3.75,True,0.213,52,0.224,57,,
8,ALB,2009,3.95,True,0.383,47,0.417,49,,
8,ALB,2010,2.02,True,-0.416,85,-0.592,97,,
8,ALB,2011,2.08,True,-0.326,80,-0.487,88,,
8,ALB,2012,2.25,True,-0.444,87,-0.464,90,-0.149,85
8,ALB,2013,2.21,True,-0.543,88,-0.505,91,-0.422,90
8,ALB,2014,1.83,True,-0.52,87,-0.57,92,-0.403,89
8,ALB,2015,2.67,True,-0.686,97,-0.745,102,-0.658,95
8,ALB,2016,3.73,True,-0.644,96,-0.66,97,-0.581,95
8,ALB,2017,3.31,True,-0.391,81,-0.514,89,-0.522,92
8,ALB,2018,3.38,True,-0.565,94,-0.53,94,-0.523,94
8,ALB,2019,3.32,True,-0.618,90,-0.558,91,-0.517,89
8,ALB,2020,3.22,True,-0.592,93,-0.397,84,-0.418,86
8,ALB,2021,3.22,True,-0.575,91,-0.368,79,-0.359,80
8,ALB,2022,1.558,True,-0.496,89,-0.459,87,-0.428,84
8,ALB,2023,1.807,True,-0.339,82,-0.298,79,-0.297,78
784,ARE,1995,,True,-0.45,85,-0.116,72,,
784,ARE,1996,,True,-0.509,88,-0.187,75,,
784,ARE,1997,,True,-0.498,88,-0.194,74,,
784,ARE,1998,,True,-0.498,85,-0.394,84,,
784,ARE,1999,,True,-0.517,91,-0.347,81,,
784,ARE,2000,,True,-0.562,96,-0.249,79,,
784,ARE,2001,,True,-0.339,80,-0.272,77,,
784,ARE,2002,,True,-0.368,79,-0.062,70,,
784,ARE,2003,,True,-0.038,63,-0.078,69,,
784,ARE,2004,1.93,True,-0.118,64,0.09,61,,
784,ARE,2005,1.73,True,0.01,60,-0.129,72,,
784,ARE,2006,1.88,True,-0.331,80,0.033,65,,
784,ARE,2007,1.98,True,-0.135,68,-0.078,69,,
784,ARE,2008,2.19,True,-0.205,72,-0.399,89,,
784,ARE,2009,2.59,True,-0.477,91,0.155,61,,
784,ARE,2010,2.78,True,-0.115,68,0.245,56,,
784,ARE,2011,2.95,True,-0.287,77,-0.051,66,,
784,ARE,2012,2.28,True,0.51,42,0.408,50,0.59,46
784,ARE,2013,2.71,True,-0.041,63,0.062,64,0.185,64
784,ARE,2014,2.16,True,0.056,59,0.145,59,0.249,56
784,ARE,2015,2.41,True,0.172,50,0.205,58,0.243,56
784,ARE,2016,2.88,True,0.3,47,0.141,58,0.136,59
784,ARE,2017,0.9,True,0.375,46,0.338,49,0.321,51
784,ARE,2018,1.15,True,0.464,45,0.343,49,0.344,49
784,ARE,2019,0.05,True,0.599,36,0.333,49,0.328,48
784,ARE,2020,-0.27,True,0.553,40,0.317,52,0.345,50
784,ARE,2021,1.0,True,0.509,41,0.341,48,0.369,47
784,ARE,2022,2.172,True,0.51,38,0.422,47,0.453,47
784,ARE,2023,1.916,True,0.609,35,0.432,45,0.421,46
32,ARG,1995,,True,0.006,64,0.211,56,,
32,ARG,1996,,True,-0.098,66,0.162,62,,
32,ARG,1997,,True,0.058,61,0.293,49,,
32,ARG,1998,,True,-0.092,67,0.264,52,,
32,ARG,1999,,True,0.05,58,0.432,43,,
32,ARG,2000,,True,-0.09,65,0.395,47,,
32,ARG,2001,,True,-0.127,70,0.315,52,,
32,ARG,2002,,True,-0.145,69,0.287,49,,
32,ARG,2003,,True,-0.26,73,0.283,53,,
32,ARG,2004,3.51,True,-0.335,79,0.22,55,,
32,ARG,2005,3.71,True,-0.208,72,0.316,51,,
32,ARG,2006,3.43,True,-0.106,63,0.344,50,,
32,ARG,2007,3.31,True,-0.202,70,0.242,55,,
32,ARG,2008,3.26,True,-0.132,67,0.312,54,,
32,ARG,2009,3.3,True,-0.05,65,0.201,59,,
32,ARG,2010,3.14,True,-0.062,63,0.242,57,,
32,ARG,2011,2.95,True,-0.169,68,0.224,55,,
32,ARG,2012,3.01,True,-0.167,68,0.084,63,0.27,61
32,ARG,2013,2.84,True,-0.351,80,0.134,61,0.235,61
32,ARG,2014,2.86,True,-0.285,73,0.083,63,0.187,63
32,ARG,2015,3.76,True,-0.49,83,0.035,65,0.054,63
32,ARG,2016,3.74,True,-0.418,80,-0.15,70,-0.142,70
32,ARG,2017,2.44,True,-0.424,83,-0.136,70,-0.125,69
32,ARG,2018,2.41,True,-0.458,84,-0.232,77,-0.194,74
32,ARG,2019,2.23,True,-0.625,91,-0.203,75,-0.196,74
32,ARG,2020,1.85,True,-0.62,95,-0.258,77,-0.213,72
32,ARG,2021,1.85,True,-0.544,88,-0.436,83,-0.425,82
32,ARG,2022,0.703,True,-0.554,94,-0.408,85,-0.43,85
32,ARG,2023,0.831,True,-0.413,86,-0.3,80,-0.309,79
51,ARM,1995,,True,0.032,60,0.105,62,,
51,ARM,1996,,True,0.861,27,0.855,26,,
51,ARM,1997,,True,0.606,33,1.134,22,,
51,ARM,1998,,True,0.868,24,0.839,30,,
51,ARM,1999,,True,0.4,42,0.57,35,,
51,ARM,2000,,True,0.52,38,0.828,29,,
51,ARM,2001,,True,0.553,36,0.781,32,,
51,ARM,2002,,True,0.343,45,0.694,34,,
51,ARM,2003,,True,0.251,48,0.455,41,,
51,ARM,2004,,True,0.19,50,0.393,46,,
51,ARM,2005,,True,-0.112,68,0.168,61,,
51,ARM,2006,,True,-0.136,66,0.205,60,,
51,ARM,2007,,True,0.891,31,0.689,36,,
51,ARM,2008,,True,0.087,58,0.336,53,,
51,ARM,2009,,True,0.083,58,0.323,53,,
51,ARM,2010,,True,0.042,57,0.118,61,,
51,ARM,2011,,True,0.254,51,0.637,39,,
51,ARM,2012,,True,0.304,52,0.521,45,0.457,53
51,ARM,2013,,True,-0.147,66,0.019,65,-0.01,66
51,ARM,2014,,True,-0.287,74,-0.157,70,-0.034,68
51,ARM,2015,,True,-0.462,80,0.043,63,0.11,61
51,ARM,2016,,True,-0.499,86,-0.118,68,-0.025,66
51,ARM,2017,4.17,True,-0.456,85,-0.36,81,-0.271,79
51,ARM,2018,4.18,True,-0.476,86,-0.313,79,-0.249,77
51,ARM,2019,4.44,True,-0.383,78,-0.124,71,-0.23,77
51,ARM,2020,3.99,True,-0.453,80,-0.214,70,-0.224,73
